Epoch,Vertices,ActiveVertices,InactiveVertices,Edges,TotalWeight,SelfLoops
1,11701,11701,0,20591,100000,764
2,14475,5193,9282,8544,100000,147
3,16342,4579,11763,7138,100000,8
4,18579,4525,14054,6793,100000,10
5,23318,7432,15886,10306,100000,13
6,25968,5420,20548,9760,100000,1902
7,27972,4868,23104,7212,100000,4
8,30265,5194,25071,8084,100000,16
9,31830,4646,27184,7448,100000,5
10,32635,3643,28992,5503,100000,4
11,34073,4679,29394,6977,100000,8
12,36165,5764,30401,8850,100000,6
13,39177,7673,31504,10942,100000,20
14,44287,10262,34025,14411,100000,13
15,49736,11104,38632,15400,100000,42
16,53514,9966,43548,13821,100000,45
17,61957,16804,45153,22930,100000,38
18,67358,12926,54432,18139,100000,30
19,73307,14076,59231,20465,100000,1273
20,80761,15728,65033,20736,100000,23
21,91213,20802,70411,28867,100000,32
22,100960,20638,80322,27429,100000,47
23,108167,19569,88598,26660,100000,52
24,114238,18167,96071,26331,100000,49
25,119111,17178,101933,25242,100000,32
26,123485,16621,106864,24705,100000,28
27,126787,15097,111690,22171,100000,19
28,130739,17126,113613,24869,100000,14
29,136029,19556,116473,28721,100000,37
30,139494,16912,122582,25329,100000,16
