Epoch,Vertices,ActiveVertices,InactiveVertices,Edges,TotalWeight,SelfLoops
1,15467,15467,0,27973,250000,918
2,23318,10910,12408,15793,250000,24
3,29025,9132,19893,15082,250000,1914
4,32635,6784,25851,11328,250000,17
5,37476,9081,28395,14113,250000,24
6,49736,18381,31355,26419,250000,65
7,64534,24068,40466,34480,250000,103
8,80761,26164,54597,37071,250000,1306
9,104492,37019,67473,51822,250000,115
10,119111,30152,88959,45204,250000,97
11,128434,24340,104094,37256,250000,51
12,139494,28199,111295,43511,250000,63
