Seed,Epoch,Fitness,WorkloadImbalance,CrossShardWorkload,ConvergenceIterations,TimeRan,beta,numberOfShards
"	1743537933835870907",1,27104.875,9807.750,44402,-1,14.80,0.5,8
"	1743537933835870907",2,35100.750,14789.500,55412,100,6.37,0.5,8
"	1743537933835870907",3,31319.500,9223.000,53416,-1,5.33,0.5,8
"	1743537933836347903",1,27513.438,9705.875,45321,86,14.47,0.5,8
"	1743537933836347903",2,35198.562,15030.125,55367,95,6.14,0.5,8
"	1743537933836347903",3,30127.938,8566.875,51689,-1,5.53,0.5,8
"	1743537933836854705",1,27319.125,9784.250,44854,-1,14.32,0.5,8
"	1743537933836854705",2,35253.938,15194.875,55313,-1,6.19,0.5,8
"	1743537933836854705",3,31499.812,9668.625,53331,-1,5.66,0.5,8
"	1743537933838473706",1,27705.188,9717.375,45693,90,14.68,0.5,8
"	1743537933838473706",2,35661.750,15591.500,55732,-1,6.29,0.5,8
"	1743537933838473706",3,32200.812,9902.625,54499,-1,5.40,0.5,8
"	1743537933841654800",1,27865.562,9636.125,46095,99,14.58,0.5,8
"	1743537933841654800",2,35434.625,15639.250,55230,59,6.07,0.5,8
"	1743537933841654800",3,31098.750,8809.500,53388,-1,5.53,0.5,8
"	1743537933841654801",1,26972.188,9787.375,44157,84,14.38,0.5,8
"	1743537933841654801",2,35254.438,14979.875,55529,-1,6.13,0.5,8
"	1743537933841654801",3,29514.188,8791.375,50237,-1,5.50,0.5,8
"	1743537933841654802",1,27917.688,9590.375,46245,95,14.50,0.5,8
"	1743537933841654802",2,35170.812,15010.625,55331,-1,6.13,0.5,8
"	1743537933841654802",3,30666.688,9120.375,52213,100,5.51,0.5,8
"	1743537933841654804",1,26549.312,9959.625,43139,-1,14.52,0.5,8
"	1743537933841654804",2,34805.438,15641.875,53969,-1,6.09,0.5,8
"	1743537933841654804",3,30139.812,8796.625,51483,-1,5.56,0.5,8
