Run,Seed,Epoch,Fitness,WorkloadImbalance,CrossShardWorkload,ConvergenceIterations,TimeRan,beta,transactionArrivalRate,numberOfShards
1,"	-1",1,24343.812,11266.625,37421,82,0.000,0.2,low,8
1,"	-1",2,32426.750,13545.500,51308,-1,0.000,0.2,low,8
1,"	-1",3,25572.875,14271.750,36874,-1,0.000,0.2,low,8
1,"	-1",4,24906.812,10106.625,39707,94,0.000,0.2,low,8
1,"	-1",5,22434.250,10144.500,34724,-1,0.000,0.2,low,8
1,"	-1",6,19763.875,16629.750,22898,53,0.000,0.2,low,8
1,"	-1",7,22667.500,11207.000,34128,78,0.000,0.2,low,8
1,"	-1",8,21389.250,10958.500,31820,-1,0.000,0.2,low,8
1,"	-1",9,19100.250,14292.500,23908,-1,0.000,0.2,low,8
1,"	-1",10,10257.562,10244.125,10271,11,0.000,0.2,low,8
1,"	-1",11,13502.562,4884.125,22121,-1,0.000,0.2,low,8
1,"	-1",12,14978.000,15732.000,14224,-1,0.000,0.2,low,8
1,"	-1",13,19436.375,20326.750,18546,55,0.000,0.2,low,8
1,"	-1",14,17320.625,18299.250,16342,-1,0.000,0.2,low,8
1,"	-1",15,22224.438,25855.875,18593,-1,0.000,0.2,low,8
1,"	-1",16,16284.312,8891.625,23677,-1,0.000,0.2,low,8
1,"	-1",17,19219.750,10227.500,28212,-1,0.000,0.2,low,8
1,"	-1",18,19898.188,12167.375,27629,-1,0.000,0.2,low,8
1,"	-1",19,19383.125,12112.250,26654,-1,0.000,0.2,low,8
1,"	-1",20,19394.500,12261.000,26528,-1,0.000,0.2,low,8
1,"	-1",21,17446.625,9991.250,24902,-1,0.000,0.2,low,8
1,"	-1",22,16807.125,9536.250,24078,-1,0.000,0.2,low,8
1,"	-1",23,17154.312,9713.625,24595,-1,0.000,0.2,low,8
1,"	-1",24,15869.000,8474.000,23264,-1,0.000,0.2,low,8
1,"	-1",25,15256.062,7881.125,22631,-1,0.000,0.2,low,8
1,"	-1",26,18059.375,12732.750,23386,-1,0.000,0.2,low,8
1,"	-1",27,15501.312,9477.625,21525,-1,0.000,0.2,low,8
1,"	-1",28,16267.812,8970.625,23565,-1,0.000,0.2,low,8
1,"	-1",29,16786.625,8567.250,25006,-1,0.000,0.2,low,8
1,"	-1",30,18962.812,10424.625,27501,-1,0.000,0.2,low,8
2,"	-1",1,24534.875,11559.750,37510,-1,0.000,0.2,low,8
2,"	-1",2,31488.250,13516.500,49460,-1,0.000,0.2,low,8
2,"	-1",3,25617.688,13870.375,37365,-1,0.000,0.2,low,8
2,"	-1",4,25603.500,12975.000,38232,57,0.000,0.2,low,8
2,"	-1",5,22508.812,9814.625,35203,86,0.000,0.2,low,8
2,"	-1",6,18387.062,9653.125,27121,-1,0.000,0.2,low,8
2,"	-1",7,22164.688,10436.375,33893,74,0.000,0.2,low,8
2,"	-1",8,22391.438,11213.875,33569,98,0.000,0.2,low,8
2,"	-1",9,19294.750,14665.500,23924,-1,0.000,0.2,low,8
2,"	-1",10,22357.125,15672.250,29042,-1,0.000,0.2,low,8
2,"	-1",11,16332.375,17030.750,15634,-1,0.000,0.2,low,8
2,"	-1",12,14447.625,14649.250,14246,53,0.000,0.2,low,8
2,"	-1",13,17522.562,12822.125,22223,72,0.000,0.2,low,8
2,"	-1",14,15563.500,10871.000,20256,97,0.000,0.2,low,8
2,"	-1",15,19056.875,10383.750,27730,-1,0.000,0.2,low,8
2,"	-1",16,16863.938,9454.875,24273,-1,0.000,0.2,low,8
2,"	-1",17,18903.188,10777.375,27029,-1,0.000,0.2,low,8
2,"	-1",18,20289.500,12131.000,28448,-1,0.000,0.2,low,8
2,"	-1",19,19750.875,11883.750,27618,-1,0.000,0.2,low,8
2,"	-1",20,19833.312,11983.625,27683,-1,0.000,0.2,low,8
2,"	-1",21,17827.000,9646.000,26008,-1,0.000,0.2,low,8
2,"	-1",22,17216.188,9251.375,25181,-1,0.000,0.2,low,8
2,"	-1",23,16643.000,8838.000,24448,-1,0.000,0.2,low,8
2,"	-1",24,16305.250,8342.500,24268,-1,0.000,0.2,low,8
2,"	-1",25,17464.312,13269.625,21659,-1,0.000,0.2,low,8
2,"	-1",26,17315.125,10264.250,24366,-1,0.000,0.2,low,8
2,"	-1",27,14382.125,8254.250,20510,-1,0.000,0.2,low,8
2,"	-1",28,16717.375,10680.750,22754,-1,0.000,0.2,low,8
2,"	-1",29,17174.750,9961.500,24388,-1,0.000,0.2,low,8
2,"	-1",30,17823.750,9099.500,26548,-1,0.000,0.2,low,8
3,"	-1",1,25328.125,11742.250,38914,-1,0.000,0.2,low,8
3,"	-1",2,28126.812,11976.625,44277,-1,0.000,0.2,low,8
3,"	-1",3,25533.688,13102.375,37965,-1,0.000,0.2,low,8
3,"	-1",4,25115.062,10245.125,39985,96,0.000,0.2,low,8
3,"	-1",5,22507.812,11098.625,33917,-1,0.000,0.2,low,8
3,"	-1",6,22280.375,12394.750,32166,-1,0.000,0.2,low,8
