Run,Seed,Epoch,Fitness,WorkloadImbalance,CrossShardWorkload,ConvergenceIterations,TimeRan,beta,transactionArrivalRate,numberOfShards
1,"	-1",1,24144.875,11371.750,36918,67,0.000,0.2,low,8
1,"	-1",1,26092.125,11982.250,40202,-1,0.000,0.2,low,8
1,"	-1",1,28106.188,13465.375,42747,-1,0.000,0.2,low,8
1,"	-1",1,25176.562,11768.125,38585,-1,0.000,0.2,low,8
1,"	-1",1,24937.438,11425.875,38449,90,0.000,0.2,low,8
1,"	-1",1,23687.188,11305.375,36069,79,0.000,0.2,low,8
1,"	-1",1,23992.625,13291.250,34694,98,0.000,0.2,low,8
1,"	-1",1,26037.500,12579.000,39496,-1,0.000,0.2,low,8
1,"	-1",2,34711.375,16124.750,53298,-1,0.000,0.2,low,8
1,"	-1",2,35153.188,15607.375,54699,96,0.000,0.2,low,8
1,"	-1",2,26324.500,12713.000,39936,-1,0.000,0.2,low,8
1,"	-1",2,34626.125,15446.250,53806,-1,0.000,0.2,low,8
1,"	-1",2,27316.250,11804.500,42828,-1,0.000,0.2,low,8
1,"	-1",2,26036.250,12180.500,39892,-1,0.000,0.2,low,8
1,"	-1",2,25660.375,12902.750,38418,-1,0.000,0.2,low,8
1,"	-1",2,43793.438,19619.875,67967,-1,0.000,0.2,low,8
1,"	-1",3,25811.250,13490.500,38132,-1,0.000,0.2,low,8
1,"	-1",3,24879.188,13273.375,36485,97,0.000,0.2,low,8
1,"	-1",3,33374.062,14011.125,52737,-1,0.000,0.2,low,8
1,"	-1",3,30785.125,18236.250,43334,78,0.000,0.2,low,8
1,"	-1",3,31580.312,13515.625,49645,-1,0.000,0.2,low,8
1,"	-1",3,29668.062,12625.125,46711,100,0.000,0.2,low,8
1,"	-1",3,24943.938,13694.875,36193,-1,0.000,0.2,low,8
1,"	-1",3,32143.375,13816.750,50470,100,0.000,0.2,low,8
